# Block,TrialType,Arrow,Response,leftSSD,rightSSD,ACC,RT
   1,   0,   2,   2, 200, 200,   1, 308
   1,   0,   2,   2, 200, 200,   1, 336
   1,   0,   1,   1, 200, 200,   1, 391
   1,   0,   1,   1, 200, 200,   1, 392
   1,   1,   2,   0, 200, 250,   3,   0
   1,   1,   1,   1, 150, 250,   4, 364
   1,   0,   1,   1, 150, 250,   1, 459
   1,   0,   2,   2, 150, 250,   1, 494
   1,   1,   1,   0, 200, 250,   3,   0
   1,   1,   1,   1, 150, 250,   4, 375
   1,   0,   1,   1, 150, 250,   1, 377
   1,   0,   2,   2, 150, 250,   1, 496
   1,   1,   2,   2, 150, 200,   4, 407
   1,   0,   2,   2, 150, 200,   1, 463
   1,   0,   2,   2, 150, 200,   1, 405
   1,   1,   1,   0, 200, 200,   3,   0
   1,   0,   2,   2, 200, 200,   1, 340
   1,   1,   1,   1, 150, 200,   4, 397
   1,   0,   1,   1, 150, 200,   1, 421
   1,   0,   1,   1, 150, 200,   1, 462
   1,   1,   2,   0, 150, 250,   3,   0
   1,   0,   1,   1, 150, 250,   1, 440
   1,   0,   2,   2, 150, 250,   1, 472
   1,   0,   2,   2, 150, 250,   1, 480
   1,   0,   1,   1, 150, 250,   1, 381
   1,   1,   2,   2, 150, 200,   4, 341
   1,   0,   2,   2, 150, 200,   1, 523
   1,   0,   1,   1, 150, 200,   1, 494
   1,   0,   2,   2, 150, 200,   1, 498
   1,   0,   1,   1, 150, 200,   1, 549
   1,   1,   1,   0, 200, 200,   3,   0
   1,   1,   2,   2, 200, 150,   4, 374
   1,   0,   2,   2, 200, 150,   1, 442
   1,   1,   1,   1, 150, 150,   4, 360
   1,   1,   2,   0, 150, 200,   3,   0
   1,   0,   1,   1, 150, 200,   1, 483
   1,   0,   1,   1, 150, 200,   1, 447
   1,   0,   2,   2, 150, 200,   1, 441
   1,   1,   1,   0, 200, 200,   3,   0
   1,   1,   2,   0, 200, 250,   3,   0
   1,   1,   2,   0, 200, 300,   3,   0
   1,   0,   1,   1, 200, 300,   1, 442
   1,   0,   1,   1, 200, 300,   1, 503
   1,   0,   2,   2, 200, 300,   1, 479
   1,   1,   1,   0, 250, 300,   3,   0
   1,   0,   1,   1, 250, 300,   1, 458
   1,   1,   2,   2, 250, 250,   4, 502
   1,   0,   2,   2, 250, 250,   1, 487
   1,   0,   1,   1, 250, 250,   1, 501
   1,   1,   2,   0, 250, 300,   3,   0
   1,   0,   1,   1, 250, 300,   1, 423
   1,   0,   1,   1, 250, 300,   1, 465
   1,   0,   2,   2, 250, 300,   1, 518
   1,   0,   2,   2, 250, 300,   1, 514
   1,   0,   1,   1, 250, 300,   1, 447
   1,   0,   1,   1, 250, 300,   1, 418
   1,   0,   2,   2, 250, 300,   1, 537
   1,   0,   2,   2, 250, 300,   1, 501
   1,   0,   2,   2, 250, 300,   1, 385
   1,   1,   1,   1, 200, 300,   4, 395
   2,   0,   1,   1, 200, 300,   1, 379
   2,   0,   1,   1, 200, 300,   1, 476
   2,   0,   2,   2, 200, 300,   1, 469
   2,   0,   2,   2, 200, 300,   1, 623
   2,   0,   2,   2, 200, 300,   1, 504
   2,   1,   2,   2, 200, 250,   4, 453
   2,   0,   2,   2, 200, 250,   1, 558
   2,   0,   1,   1, 200, 250,   1, 428
   2,   0,   2,   2, 200, 250,   1, 460
   2,   0,   2,   2, 200, 250,   1, 484
   2,   1,   2,   0, 200, 300,   3,   0
   2,   1,   2,   2, 200, 250,   4, 503
   2,   1,   1,   0, 250, 250,   3,   0
   2,   0,   1,   1, 250, 250,   1, 401
   2,   1,   1,   1, 200, 250,   4, 407
   2,   1,   1,   0, 250, 250,   3,   0
   2,   1,   1,   1, 200, 250,   4, 481
   2,   0,   2,   2, 200, 250,   1, 375
   2,   1,   1,   0, 250, 250,   3,   0
   2,   0,   1,   1, 250, 250,   1, 546
   2,   0,   1,   1, 250, 250,   1, 452
   2,   0,   1,   1, 250, 250,   1, 456
   2,   0,   2,   2, 250, 250,   1, 487
   2,   1,   2,   2, 250, 200,   4, 440
   2,   0,   1,   1, 250, 200,   1, 471
   2,   0,   2,   2, 250, 200,   1, 406
   2,   0,   1,   1, 250, 200,   1, 456
   2,   0,   2,   2, 250, 200,   1, 496
   2,   0,   1,   1, 250, 200,   1, 462
   2,   1,   1,   0, 300, 200,   3,   0
   2,   0,   2,   2, 300, 200,   1, 377
   2,   1,   2,   0, 300, 250,   3,   0
   2,   0,   1,   1, 300, 250,   1, 397
   2,   0,   2,   2, 300, 250,   1, 509
   2,   0,   2,   2, 300, 250,   1, 455
   2,   0,   1,   1, 300, 250,   1, 464
   2,   0,   2,   2, 300, 250,   1, 502
   2,   0,   2,   2, 300, 250,   1, 545
   2,   1,   2,   0, 300, 300,   3,   0
   2,   0,   1,   1, 300, 300,   1, 325
   2,   0,   2,   2, 300, 300,   1, 421
   2,   0,   1,   1, 300, 300,   1, 513
   2,   0,   2,   2, 300, 300,   1, 447
   2,   0,   1,   1, 300, 300,   1, 556
   2,   1,   2,   2, 300, 250,   4, 460
   2,   0,   1,   1, 300, 250,   1, 524
   2,   1,   2,   0, 300, 300,   3,   0
   2,   1,   1,   1, 250, 300,   4, 459
   2,   0,   1,   1, 250, 300,   1, 428
   2,   0,   2,   2, 250, 300,   1, 477
   2,   1,   1,   0, 300, 300,   3,   0
   2,   1,   1,   1, 250, 300,   4, 430
   2,   0,   2,   2, 250, 300,   1, 465
   2,   1,   2,   2, 250, 250,   4, 474
   2,   0,   1,   1, 250, 250,   1, 437
   2,   0,   1,   1, 250, 250,   1, 542
   2,   0,   1,   1, 250, 250,   1, 486
   2,   0,   2,   2, 250, 250,   1, 666
   2,   1,   2,   0, 250, 300,   3,   0
